species,age,length
Sole,29,47
Sole,20,42
Sole,3,28
Sole,21,44
Sole,12,42
Sole,22,42
Sole,5,36
Sole,4,36
Sole,23,45
Sole,16,43
Sole,13,42
Sole,17,42
Sole,19,43
Sole,11,42
Sole,24,46
Sole,15,42
Sole,6,40
Sole,18,42
Sole,27,44
Sole,31,43
Sole,7,38
Sole,14,42
Sole,26,47
Sole,8,41
Sole,9,42
Sole,25,46
Sole,10,42
Haddock,5,55
Haddock,3,50
Haddock,4,53
Haddock,6,52
Haddock,7,57
Haddock,5,50
Haddock,6,52
Haddock,4,48
Haddock,2,36
Haddock,3,45
Haddock,7,59
Plaice,6,39
Plaice,2,31
Plaice,15,48
Plaice,9,43
Plaice,16,52
Plaice,10,43
Plaice,3,34
Plaice,13,49
Plaice,1,26
Plaice,4,35
Plaice,17,51
Plaice,14,51
Plaice,7,40
Plaice,8,42
Plaice,11,45
Plaice,5,37
Plaice,12,48
Sole,25,44
Sole,2,25
Sole,14,39
Sole,4,32
Sole,21,43
Sole,17,42
Sole,3,30
Sole,27,43
Sole,19,43
Sole,24,42
Sole,22,43
Sole,20,42
Sole,23,46
Sole,12,40
Sole,10,39
Sole,13,40
Sole,8,39
Sole,9,39
Sole,7,36
Sole,15,42
Sole,18,43
Sole,6,37
Sole,30,46
Sole,11,39
Sole,32,43
Sole,5,37
Sole,16,41
Plaice,3,36
Plaice,10,46
Plaice,8,42
Plaice,7,43
Plaice,6,41
Plaice,5,39
Plaice,4,38
Plaice,2,33
Plaice,19,60
Plaice,18,60
Plaice,17,53
Plaice,16,57
Plaice,22,60
Plaice,20,60
Plaice,14,52
Plaice,15,56
Plaice,13,50
Plaice,12,48
Plaice,11,47
Plaice,9,45
Cod,2,46
Cod,4,56
Cod,1,41
Cod,3,49
Whiting,7,33
Whiting,5,34
Whiting,4,34
Whiting,9,32
Whiting,3,33
Whiting,8,33
Whiting,6,34
Whiting,2,31
Cod,4,61
Cod,3,51
Cod,1,39
Cod,2,49
Haddock,6,38
Haddock,1,31
Haddock,5,38
Haddock,2,33
Haddock,4,37
Haddock,3,35
Mackerel,1,30
Mackerel,0,38
Mackerel,6,36
Mackerel,11,39
Mackerel,12,39
Mackerel,7,37
Mackerel,5,37
Mackerel,8,36
Mackerel,13,41
Mackerel,4,34
Mackerel,2,31
Mackerel,9,38
Mackerel,10,37
Mackerel,3,32
Plaice,11,32
Plaice,9,33
Plaice,8,32
Plaice,4,32
Plaice,7,32
Plaice,6,32
Plaice,5,32
Plaice,3,32
Plaice,2,32
Plaice,1,30
Plaice,19,37
Plaice,17,32
Plaice,13,33
Plaice,16,33
Plaice,15,35
Plaice,14,33
Plaice,12,32
Plaice,10,32
Sole,14,36
Sole,13,38
Sole,4,28
Sole,7,29
Sole,5,30
Sole,6,31
Sole,2,24
Sole,11,29
Sole,9,32
Sole,3,26
Sole,10,30
Sole,8,33
Sole,1,23
Whiting,7,34
Whiting,3,32
Whiting,8,34
Whiting,9,38
Whiting,10,39
Whiting,1,28
Whiting,5,36
Whiting,6,34
Whiting,4,33
Whiting,2,29
Herring,7,26
Herring,3,24
Herring,4,25
Herring,5,26
Herring,9,24
Herring,8,28
Herring,6,26
Sole,9,34
Sole,4,28
Sole,8,35
